"module name","license","repository"
"@ampproject/remapping@2.2.0","Apache-2.0","https://github.com/ampproject/remapping"
"@axe-core/playwright@4.7.0","MPL-2.0","https://github.com/dequelabs/axe-core-npm"
"@babel/code-frame@7.22.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.22.3","MIT","https://github.com/babel/babel"
"@babel/core@7.22.1","MIT","https://github.com/babel/babel"
"@babel/generator@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.21.0","MIT","https://github.com/babel/babel"
"@babel/helpers@7.22.3","MIT","https://github.com/babel/babel"
"@babel/highlight@7.22.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.22.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.18.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-transform-modules-commonjs@7.22.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.21.0","MIT","https://github.com/babel/babel"
"@babel/template@7.22.5","MIT","https://github.com/babel/babel"
"@babel/traverse@7.22.5","MIT","https://github.com/babel/babel"
"@babel/types@7.22.5","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@6.0.2","MIT","https://github.com/braintree/sanitize-url"
"@jridgewell/gen-mapping@0.1.1","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/gen-mapping@0.3.3","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.0","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.1.2","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.4.14","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.17","MIT","https://github.com/jridgewell/trace-mapping"
"@linaria/core@4.2.9","MIT","https://github.com/callstack/linaria"
"@linaria/logger@4.0.0","MIT","https://github.com/callstack/linaria"
"@linaria/tags@4.3.5","MIT","https://github.com/callstack/linaria"
"@linaria/utils@4.3.4","MIT","https://github.com/callstack/linaria"
"@popperjs/core@2.11.6","MIT","https://github.com/popperjs/popper-core"
"@remirror/core-constants@2.0.1","MIT","https://github.com/remirror/remirror"
"@remirror/core-helpers@2.0.3","MIT","https://github.com/remirror/remirror"
"@remirror/types@1.0.1","MIT","https://github.com/remirror/remirror"
"@tiptap/core@2.0.3","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bold@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bubble-menu@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bullet-list@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-color@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-document@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-floating-menu@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-history@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-image@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-italic@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-list-item@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-mention@2.0.3","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-ordered-list@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-paragraph@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-strike@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-subscript@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-superscript@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-cell@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-header@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-row@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text-align@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text-style@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-underline@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/pm@2.0.3","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/prosemirror-tables@1.1.4","MIT","https://github.com/prosemirror/prosemirror-tables"
"@tiptap/suggestion@2.0.3","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/vue-3@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@types/object.omit@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/object.pick@1.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/throttle-debounce@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@unleash/proxy-client-vue@0.0.8","MIT","https://github.com/Unleash/proxy-client-vue"
"@vue/compiler-core@3.3.4","MIT","https://github.com/vuejs/core"
